fecha,salon,mostrador,domicilio,otros,total,cub,promedio,ventas,prom_vtas,acumulado
"Vie 26/08/22",0.00,23360.00,222610.00,0.00,245970.00,0,0.00,57,4315.26,245970.00
"Sab 27/08/22",0.00,8930.00,284009.00,0.00,292939.00,0,0.00,61,4802.28,292939.00
"Mar 30/08/22",0.00,3380.00,188412.90,0.00,191792.90,0,0.00,39,4917.77,191792.90
"Mie 31/08/22",0.00,14640.00,85960.00,0.00,100600.00,0,0.00,21,4790.48,100600.00
"Jue 01/09/22",0.00,0.00,145930.00,0.00,145930.00,0,0.00,35,4169.43,145930.00
"Vie 02/09/22",0.00,2800.00,368570.00,0.00,371370.00,0,0.00,75,4951.60,371370.00
"Sab 03/09/22",0.00,18700.00,227450.00,0.00,246150.00,0,0.00,54,4558.33,246150.00
"Mar 06/09/22",0.00,0.00,161065.00,0.00,161065.00,0,0.00,34,4737.21,161065.00
"Mie 07/09/22",0.00,19250.00,112770.00,0.00,132020.00,0,0.00,29,4552.41,132020.00
"Jue 08/09/22",0.00,6050.00,113316.00,0.00,119366.00,0,0.00,23,5189.83,119366.00
"Vie 09/09/22",0.00,30880.00,291750.00,0.00,322630.00,0,0.00,71,4544.08,322630.00
"Sab 10/09/22",0.00,10150.00,285440.00,0.00,295590.00,0,0.00,63,4691.90,295590.00
"Mar 13/09/22",0.00,4833.00,194061.00,0.00,198894.00,0,0.00,35,5682.69,198894.00
"Mie 14/09/22",0.00,10760.00,147780.00,0.00,158540.00,0,0.00,34,4662.94,158540.00
"Jue 15/09/22",0.00,4500.00,154020.00,0.00,158520.00,0,0.00,32,4953.75,158520.00
"Vie 16/09/22",0.00,27530.00,239300.00,0.00,266830.00,0,0.00,55,4851.45,266830.00
"Sab 17/09/22",0.00,18130.00,252080.00,0.00,270210.00,0,0.00,58,4658.79,270210.00
"Mar 20/09/22",0.00,9810.00,116195.00,0.00,126005.00,0,0.00,24,5250.21,126005.00
"Mie 21/09/22",0.00,7140.00,157230.00,0.00,164370.00,0,0.00,33,4980.91,164370.00
"Jue 22/09/22",0.00,3570.00,152310.00,0.00,155880.00,0,0.00,25,6235.20,155880.00
"Vie 23/09/22",0.00,28620.00,285280.00,0.00,313900.00,0,0.00,67,4685.07,313900.00
"Sab 24/09/22",0.00,26200.00,240485.00,0.00,266685.00,0,0.00,54,4938.61,266685.00
"Mar 27/09/22",0.00,2750.00,138461.00,0.00,141211.00,0,0.00,32,4412.84,141211.00
"Mie 28/09/22",0.00,9020.00,130440.00,0.00,139460.00,0,0.00,26,5363.85,139460.00
"Jue 29/09/22",0.00,6810.00,144270.00,0.00,151080.00,0,0.00,26,5810.77,151080.00
"Vie 30/09/22",0.00,37060.00,239610.00,0.00,276670.00,0,0.00,57,4853.86,276670.00
"Sab 01/10/22",0.00,16220.00,302170.00,0.00,318390.00,0,0.00,62,5135.32,318390.00
"Mar 04/10/22",0.00,3570.00,185233.00,0.00,188803.00,0,0.00,34,5553.03,188803.00
"Mie 05/10/22",0.00,0.00,241330.00,0.00,241330.00,0,0.00,45,5362.89,241330.00
"Jue 06/10/22",0.00,13130.00,245950.00,0.00,259080.00,0,0.00,48,5397.50,259080.00
"Vie 07/10/22",0.00,12470.00,243047.00,0.00,255517.00,0,0.00,50,5110.34,255517.00
"Sab 08/10/22",0.00,6590.00,319050.00,0.00,325640.00,0,0.00,55,5920.73,325640.00
"Dom 09/10/22",0.00,20360.00,159180.00,0.00,179540.00,0,0.00,33,5440.61,179540.00
"Mie 12/10/22",0.00,6800.00,157037.00,0.00,163837.00,0,0.00,29,5649.55,163837.00
"Jue 13/10/22",0.00,0.00,172680.00,0.00,172680.00,0,0.00,34,5078.82,172680.00
"Vie 14/10/22",0.00,22150.00,264950.00,0.00,287100.00,0,0.00,59,4866.10,287100.00
"Sab 15/10/22",0.00,32240.00,299240.00,0.00,331480.00,0,0.00,61,5434.10,331480.00
"Mar 18/10/22",0.00,0.00,144618.00,0.00,144618.00,0,0.00,30,4820.60,144618.00
"Mie 19/10/22",0.00,0.00,131110.00,0.00,131110.00,0,0.00,26,5042.69,131110.00
"Jue 20/10/22",0.00,2750.00,227986.00,0.00,230736.00,0,0.00,40,5768.40,230736.00
"Vie 21/10/22",0.00,21400.00,266080.00,0.00,287480.00,0,0.00,58,4956.55,287480.00
"Sab 22/10/22",0.00,34310.00,240890.00,0.00,275200.00,0,0.00,54,5096.30,275200.00
"Mar 25/10/22",0.00,9207.00,118354.00,0.00,127561.00,0,0.00,33,3865.48,127561.00
"Mie 26/10/22",0.00,4620.00,128540.00,0.00,133160.00,0,0.00,27,4931.85,133160.00
"Jue 27/10/22",0.00,9230.00,131350.00,0.00,140580.00,0,0.00,32,4393.13,140580.00
"Vie 28/10/22",0.00,16760.00,354480.00,0.00,371240.00,0,0.00,67,5540.90,371240.00
"Sab 29/10/22",0.00,38130.00,192639.00,0.00,230769.00,0,0.00,48,4807.69,230769.00
"Mar 01/11/22",0.00,14390.00,124022.00,0.00,138412.00,0,0.00,29,4772.83,138412.00
"Mie 02/11/22",0.00,16610.00,150220.00,0.00,166830.00,0,0.00,31,5381.61,166830.00
"Jue 03/11/22",0.00,6280.00,154450.00,0.00,160730.00,0,0.00,30,5357.67,160730.00
"Vie 04/11/22",0.00,31650.00,278120.00,0.00,309770.00,0,0.00,67,4623.43,309770.00
"Sab 05/11/22",0.00,30170.00,252584.00,0.00,282754.00,0,0.00,62,4560.55,282754.00
"Mar 08/11/22",0.00,15903.00,73851.00,0.00,89754.00,0,0.00,19,4723.89,89754.00
"Mie 09/11/22",0.00,4360.00,129040.00,0.00,133400.00,0,0.00,25,5336.00,133400.00
"Jue 10/11/22",0.00,23600.00,122420.00,0.00,146020.00,0,0.00,28,5215.00,146020.00
"Vie 11/11/22",0.00,62260.00,237130.00,0.00,299390.00,0,0.00,58,5161.90,299390.00
"Sab 12/11/22",0.00,29600.00,290320.00,0.00,319920.00,0,0.00,68,4704.71,319920.00
"Mar 15/11/22",0.00,1790.00,163484.00,0.00,165274.00,0,0.00,33,5008.30,165274.00
